"species","SVL_cm","TL_cm","Ventrals","Subcaudals","Head._Length_mm","Head_Width_mm","Body_Width_mm","N_scales_bordering_L_parietals","N_scales_bordering_R_parietals","White_Ventral_Annuli_Bordering_Ventral_Black","Ventral_Annuli_In_BlackBand","X.Dorsal_Annuli_OR_juvenile_dorsal_black_bands","Ventral_Black_Bands","Ventral_Lower_Lower_ScCount","Ventral_Black_Upper_ScCount","Ventral_Orange_Lower_ScCount","Ventral_Orange_Upper_ScCount","Temporal_Pigmentation","Annulus.on.dorsal.black.tail.bands","Upper.temporal.divided"
"mcclungi",3.65842024662923,1.09861228866811,5.29330482472449,2.89037175789616,2.57261223020711,2.06686275947298,2.11424546383429,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,4.15888308335967,3.17805383034795,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,1.09861228866811,1.6094379124341,0.693147180559945
"mcclungi",3.74004774068834,0.405465108108164,5.27299955856375,3.09104245335832,2.56494935746154,2.07944154167984,2.00507712643586,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,3.73766961828337,2.89037175789616,1.6094379124341,2.19722457733622,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"mcclungi",4.0842942263686,1.30833281965018,5.28826703069454,2.99573227355399,2.79728133483015,2.30258509299405,2.20386912005489,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,3.91202300542815,3.04452243772342,1.6094379124341,2.07944154167984,1.38629436111989,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"calligaster",4.01638302075239,1.09861228866811,5.50125821054473,2.89037175789616,2.4932054526027,1.87180217690159,2.17285598628131,1.38629436111989,1.09861228866811,0.693147180559945,0.693147180559945,4.0943445622221,3.46573590279973,0.693147180559945,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,1.38629436111989
"calligaster",4.0342406381524,1.1314021114911,5.50533153593236,2.89037175789616,2.54160199346455,1.88706964903238,2.10940479282478,1.38629436111989,1.6094379124341,0.693147180559945,0.693147180559945,4.02535169073515,3.40119738166216,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"cf_mcclungi",3.8607297110406,0.405465108108164,5.51745289646471,2.83321334405622,2.37954613413017,1.7404661748405,1.74338588500215,1.09861228866811,1.38629436111989,1.09861228866811,1.6094379124341,4.02535169073515,3.40119738166216,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"mcclungi",3.98154906807676,1.09861228866811,5.32787616878958,2.94443897916644,2.45958884180371,2.01490302054226,2.13298230860787,1.38629436111989,1.38629436111989,1.09861228866811,1.09861228866811,3.91202300542815,2.99573227355399,1.38629436111989,1.6094379124341,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"mcclungi",3.83297979808769,1.19392246847243,5.32300997913841,2.94443897916644,2.59525470695687,1.94591014905531,2.27760910688969,1.6094379124341,1.38629436111989,1.38629436111989,1.09861228866811,4.06044301054642,3.04452243772342,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,1.38629436111989
"calligaster",3.98898404656427,1.3609765531356,5.49306144334055,3.04452243772342,2.29253475714054,1.98787434815435,2.0588135739264,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,4.02535169073515,3.36729582998647,0.693147180559945,1.09861228866811,1.79175946922805,1.94591014905531,1.09861228866811,0.693147180559945,0.693147180559945
"mcclungi",3.98154906807676,1.28093384546206,5.30826769740121,2.83321334405622,2.40152504084895,2.00821403239147,2.1701959049483,1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,3.97029191355212,2.99573227355399,1.79175946922805,1.94591014905531,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"mcclungi",3.67249597486341,1.15373158788919,5.29330482472449,3.04452243772342,2.48989419129904,1.82454929205105,2.2589814554771,1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,4.04305126783455,2.94443897916644,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,1.6094379124341
"mcclungi",3.48951346271072,1.15373158788919,5.29831736654804,2.89037175789616,2.23001440015921,1.82776990675109,2.03948722621617,1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,4.02535169073515,2.99573227355399,1.79175946922805,2.19722457733622,1.38629436111989,1.38629436111989,1.09861228866811,1.6094379124341,0.693147180559945
